vir_Donor,Classification,Protocol,n,percent,algorithm,match
multiplet,multiplet,LMO,2766,96.64570230607966,Cell Ranger,TRUE
VBDR1233,VBDR1233,CMO,3037,94.78776529338327,Cell Ranger,TRUE
VBDR1216,VBDR1216,CMO,3330,94.54855195911414,Cell Ranger,TRUE
VBDR1206,VBDR1206,CMO,2611,93.35001787629604,Cell Ranger,TRUE
VBDR1186,VBDR1186,CMO,4494,93.29458168984846,Cell Ranger,TRUE
VBDR1186,VBDR1186,LMO,3787,91.60619254958877,Cell Ranger,TRUE
VBDR1233,VBDR1233,LMO,5850,91.29213483146067,Cell Ranger,TRUE
VBDR1206,VBDR1206,LMO,2973,90.64024390243902,Cell Ranger,TRUE
VBDR1216,VBDR1216,LMO,3881,90.50839552238806,Cell Ranger,TRUE
unassigned,multiplet,LMO,157,85.32608695652173,Cell Ranger,FALSE
multiplet,multiplet,HTO,2595,83.87201034259859,Cell Ranger,TRUE
VBDR1233,VBDR1233,HTO,3653,82.53502033438771,Cell Ranger,TRUE
NA,unassigned,CMO,2815,79.05082841898343,Cell Ranger,NA
VBDR1216,VBDR1216,HTO,2995,78.36211407639979,Cell Ranger,TRUE
VBDR1186,VBDR1186,HTO,4576,78.02216538789429,Cell Ranger,TRUE
VBDR1206,VBDR1206,HTO,2891,77.58990874932904,Cell Ranger,TRUE
multiplet,multiplet,CMO,1243,77.49376558603491,Cell Ranger,TRUE
unassigned,multiplet,HTO,84,65.11627906976744,Cell Ranger,FALSE
unassigned,multiplet,CMO,28,54.90196078431373,Cell Ranger,FALSE
NA,empty,CMO,746,20.949171581016568,Cell Ranger,NA
unassigned,VBDR1206,CMO,9,17.647058823529413,Cell Ranger,FALSE
unassigned,unassigned,HTO,22,17.05426356589147,Cell Ranger,TRUE
unassigned,VBDR1216,CMO,8,15.686274509803921,Cell Ranger,FALSE
VBDR1206,unassigned,HTO,573,15.37842190016103,Cell Ranger,FALSE
multiplet,unassigned,HTO,432,13.962508080155139,Cell Ranger,FALSE
VBDR1186,unassigned,HTO,805,13.725490196078432,Cell Ranger,FALSE
VBDR1216,unassigned,HTO,520,13.60544217687075,Cell Ranger,FALSE
unassigned,empty,HTO,16,12.4031007751938,Cell Ranger,FALSE
VBDR1233,unassigned,HTO,527,11.906913691821057,Cell Ranger,FALSE
VBDR1216,multiplet,LMO,361,8.418843283582088,Cell Ranger,FALSE
VBDR1186,multiplet,HTO,479,8.167092924126171,Cell Ranger,FALSE
VBDR1216,multiplet,HTO,302,7.901622187336472,Cell Ranger,FALSE
unassigned,VBDR1233,CMO,4,7.8431372549019605,Cell Ranger,FALSE
VBDR1206,multiplet,LMO,251,7.652439024390244,Cell Ranger,FALSE
VBDR1233,multiplet,LMO,476,7.428214731585518,Cell Ranger,FALSE
multiplet,VBDR1186,CMO,108,6.733167082294264,Cell Ranger,FALSE
VBDR1186,multiplet,LMO,272,6.579583938074504,Cell Ranger,FALSE
VBDR1186,multiplet,CMO,310,6.435540793024703,Cell Ranger,FALSE
VBDR1206,multiplet,CMO,175,6.2567036110117975,Cell Ranger,FALSE
VBDR1206,multiplet,HTO,223,5.984970477724101,Cell Ranger,FALSE
unassigned,VBDR1216,LMO,11,5.978260869565218,Cell Ranger,FALSE
multiplet,VBDR1216,CMO,95,5.922693266832918,Cell Ranger,FALSE
multiplet,VBDR1206,CMO,89,5.548628428927681,Cell Ranger,FALSE
VBDR1233,multiplet,HTO,229,5.17397198373249,Cell Ranger,FALSE
VBDR1216,multiplet,CMO,165,4.6848381601362865,Cell Ranger,FALSE
multiplet,VBDR1233,CMO,69,4.301745635910224,Cell Ranger,FALSE
VBDR1233,multiplet,CMO,137,4.275905118601748,Cell Ranger,FALSE
unassigned,VBDR1186,CMO,2,3.9215686274509802,Cell Ranger,FALSE
unassigned,VBDR1206,LMO,7,3.804347826086957,Cell Ranger,FALSE
unassigned,unassigned,LMO,5,2.717391304347826,Cell Ranger,TRUE
unassigned,VBDR1216,HTO,3,2.3255813953488373,Cell Ranger,FALSE
multiplet,unassigned,LMO,52,1.8169112508735148,Cell Ranger,FALSE
unassigned,VBDR1186,HTO,2,1.550387596899225,Cell Ranger,FALSE
unassigned,VBDR1233,HTO,2,1.550387596899225,Cell Ranger,FALSE
VBDR1186,unassigned,LMO,49,1.185292694726657,Cell Ranger,FALSE
VBDR1206,unassigned,LMO,38,1.1585365853658536,Cell Ranger,FALSE
unassigned,VBDR1233,LMO,2,1.0869565217391304,Cell Ranger,FALSE
unassigned,empty,LMO,2,1.0869565217391304,Cell Ranger,FALSE
VBDR1233,unassigned,LMO,63,0.9831460674157303,Cell Ranger,FALSE
VBDR1216,unassigned,LMO,40,0.9328358208955223,Cell Ranger,FALSE
multiplet,VBDR1186,HTO,26,0.8403361344537815,Cell Ranger,FALSE
VBDR1206,empty,HTO,28,0.7514761137949544,Cell Ranger,FALSE
VBDR1186,empty,LMO,25,0.6047411707789065,Cell Ranger,FALSE
multiplet,VBDR1233,HTO,17,0.5494505494505495,Cell Ranger,FALSE
VBDR1206,empty,LMO,16,0.4878048780487805,Cell Ranger,FALSE
multiplet,VBDR1233,LMO,13,0.4542278127183787,Cell Ranger,FALSE
VBDR1233,VBDR1206,CMO,13,0.4057428214731586,Cell Ranger,FALSE
VBDR1216,VBDR1233,CMO,14,0.3975014196479273,Cell Ranger,FALSE
multiplet,VBDR1216,HTO,12,0.3878474466709761,Cell Ranger,FALSE
multiplet,VBDR1186,LMO,10,0.3494060097833683,Cell Ranger,FALSE
VBDR1233,empty,HTO,15,0.3389064618165386,Cell Ranger,FALSE
VBDR1216,VBDR1206,CMO,11,0.3123225440090857,Cell Ranger,FALSE
VBDR1233,empty,LMO,19,0.2965043695380774,Cell Ranger,FALSE
VBDR1233,VBDR1186,CMO,9,0.2808988764044944,Cell Ranger,FALSE
multiplet,empty,LMO,8,0.2795248078266946,Cell Ranger,FALSE
multiplet,empty,HTO,8,0.25856496444731736,Cell Ranger,FALSE
VBDR1233,VBDR1216,CMO,8,0.24968789013732834,Cell Ranger,FALSE
multiplet,VBDR1216,LMO,7,0.2445842068483578,Cell Ranger,FALSE
VBDR1186,VBDR1233,CMO,11,0.2283578991073282,Cell Ranger,FALSE
VBDR1206,VBDR1233,HTO,8,0.2147074610842727,Cell Ranger,FALSE
multiplet,VBDR1206,LMO,6,0.20964360587002098,Cell Ranger,FALSE
VBDR1206,VBDR1186,CMO,4,0.14301036825169824,Cell Ranger,FALSE
VBDR1206,VBDR1216,CMO,4,0.14301036825169824,Cell Ranger,FALSE
VBDR1216,empty,HTO,5,0.13082155939298795,Cell Ranger,FALSE
multiplet,VBDR1206,HTO,4,0.12928248222365868,Cell Ranger,FALSE
VBDR1216,empty,LMO,5,0.11660447761194029,Cell Ranger,FALSE
VBDR1206,VBDR1233,CMO,3,0.10725777618877369,Cell Ranger,FALSE
VBDR1186,empty,HTO,4,0.06820119352088662,Cell Ranger,FALSE
VBDR1206,VBDR1233,LMO,2,0.06097560975609756,Cell Ranger,FALSE
VBDR1216,VBDR1186,CMO,2,0.05678591709256105,Cell Ranger,FALSE
VBDR1206,VBDR1216,HTO,2,0.05367686527106817,Cell Ranger,FALSE
VBDR1233,VBDR1206,HTO,2,0.045187528242205156,Cell Ranger,FALSE
VBDR1186,VBDR1206,CMO,2,0.041519618019514225,Cell Ranger,FALSE
VBDR1206,VBDR1186,HTO,1,0.026838432635534086,Cell Ranger,FALSE
VBDR1186,VBDR1206,LMO,1,0.024189646831156264,Cell Ranger,FALSE
VBDR1216,VBDR1186,LMO,1,0.023320895522388058,Cell Ranger,FALSE
VBDR1186,VBDR1216,HTO,1,0.017050298380221655,Cell Ranger,FALSE
VBDR1216,VBDR1216,CMO,3409,96.7915956842703,BFF cluster,TRUE
VBDR1186,VBDR1186,CMO,4649,96.5123520863608,BFF cluster,TRUE
VBDR1206,VBDR1206,CMO,2698,96.46049338577048,BFF cluster,TRUE
VBDR1233,VBDR1233,LMO,6123,95.55243445692884,BFF cluster,TRUE
VBDR1216,VBDR1216,LMO,4095,95.49906716417911,BFF cluster,TRUE
VBDR1206,VBDR1206,LMO,3128,95.36585365853658,BFF cluster,TRUE
VBDR1186,VBDR1186,LMO,3937,95.23463957426222,BFF cluster,TRUE
VBDR1233,VBDR1233,HTO,4115,92.9733393583371,BFF cluster,TRUE
VBDR1233,VBDR1233,CMO,2939,91.729088639201,BFF cluster,TRUE
VBDR1216,VBDR1216,HTO,3348,87.59811616954474,BFF cluster,TRUE
VBDR1186,VBDR1186,HTO,5120,87.29752770673487,BFF cluster,TRUE
VBDR1206,VBDR1206,HTO,3159,84.78260869565217,BFF cluster,TRUE
multiplet,multiplet,LMO,1166,40.74074074074074,BFF cluster,TRUE
multiplet,multiplet,HTO,1241,40.10989010989011,BFF cluster,TRUE
unassigned,multiplet,HTO,49,37.98449612403101,BFF cluster,FALSE
multiplet,multiplet,CMO,585,36.4713216957606,BFF cluster,TRUE
unassigned,VBDR1216,CMO,14,27.450980392156865,BFF cluster,FALSE
unassigned,VBDR1206,CMO,13,25.49019607843137,BFF cluster,FALSE
unassigned,multiplet,CMO,13,25.49019607843137,BFF cluster,FALSE
unassigned,multiplet,LMO,45,24.456521739130434,BFF cluster,FALSE
NA,VBDR1186,CMO,811,22.77450154450997,BFF cluster,NA
unassigned,VBDR1233,HTO,29,22.48062015503876,BFF cluster,FALSE
multiplet,VBDR1233,HTO,675,21.816418875242405,BFF cluster,FALSE
unassigned,VBDR1216,LMO,40,21.73913043478261,BFF cluster,FALSE
multiplet,VBDR1186,CMO,322,20.074812967581046,BFF cluster,FALSE
multiplet,VBDR1233,LMO,563,19.671558350803632,BFF cluster,FALSE
NA,multiplet,CMO,700,19.657399606852007,BFF cluster,NA
unassigned,VBDR1233,LMO,36,19.565217391304348,BFF cluster,FALSE
NA,VBDR1216,CMO,681,19.12384161752317,BFF cluster,NA
unassigned,unassigned,HTO,24,18.6046511627907,BFF cluster,TRUE
multiplet,VBDR1216,CMO,294,18.329177057356606,BFF cluster,FALSE
unassigned,VBDR1206,LMO,33,17.934782608695652,BFF cluster,FALSE
unassigned,VBDR1233,CMO,8,15.686274509803921,BFF cluster,FALSE
NA,VBDR1233,CMO,557,15.641673687166527,BFF cluster,NA
unassigned,VBDR1186,LMO,27,14.673913043478262,BFF cluster,FALSE
multiplet,VBDR1186,LMO,408,14.255765199161424,BFF cluster,FALSE
multiplet,VBDR1206,CMO,218,13.591022443890274,BFF cluster,FALSE
multiplet,VBDR1216,LMO,386,13.487071977638015,BFF cluster,FALSE
multiplet,VBDR1186,HTO,413,13.34841628959276,BFF cluster,FALSE
NA,VBDR1206,CMO,463,13.001965739960685,BFF cluster,NA
multiplet,VBDR1206,HTO,382,12.346477052359406,BFF cluster,FALSE
multiplet,VBDR1216,HTO,361,11.667744020685197,BFF cluster,FALSE
multiplet,VBDR1233,CMO,185,11.533665835411473,BFF cluster,FALSE
multiplet,VBDR1206,LMO,313,10.936408106219426,BFF cluster,FALSE
NA,unassigned,CMO,349,9.800617803987643,BFF cluster,NA
VBDR1186,multiplet,HTO,517,8.815004262574595,BFF cluster,FALSE
VBDR1216,multiplet,HTO,333,8.712715855572998,BFF cluster,FALSE
unassigned,VBDR1216,HTO,11,8.527131782945736,BFF cluster,FALSE
VBDR1206,multiplet,HTO,314,8.427267847557703,BFF cluster,FALSE
unassigned,VBDR1206,HTO,10,7.751937984496124,BFF cluster,FALSE
unassigned,VBDR1186,CMO,3,5.88235294117647,BFF cluster,FALSE
VBDR1233,multiplet,CMO,187,5.83645443196005,BFF cluster,FALSE
VBDR1233,multiplet,HTO,249,5.625847266154541,BFF cluster,FALSE
unassigned,VBDR1186,HTO,6,4.651162790697675,BFF cluster,FALSE
VBDR1206,unassigned,HTO,123,3.3011272141706924,BFF cluster,FALSE
VBDR1206,VBDR1233,HTO,121,3.247450348899624,BFF cluster,FALSE
VBDR1216,multiplet,LMO,111,2.5886194029850746,BFF cluster,FALSE
VBDR1186,multiplet,CMO,122,2.5326966991903674,BFF cluster,FALSE
VBDR1216,VBDR1233,HTO,85,2.2239665096807952,BFF cluster,FALSE
VBDR1186,unassigned,LMO,91,2.20125786163522,BFF cluster,FALSE
VBDR1206,multiplet,LMO,69,2.103658536585366,BFF cluster,FALSE
VBDR1186,VBDR1233,HTO,123,2.0971867007672635,BFF cluster,FALSE
VBDR1233,multiplet,LMO,133,2.0755305867665417,BFF cluster,FALSE
VBDR1216,multiplet,CMO,72,2.0442930153321974,BFF cluster,FALSE
VBDR1206,multiplet,CMO,56,2.0021451555237753,BFF cluster,FALSE
unassigned,unassigned,LMO,3,1.6304347826086956,BFF cluster,TRUE
VBDR1186,multiplet,LMO,66,1.5965166908563133,BFF cluster,FALSE
VBDR1206,unassigned,LMO,50,1.524390243902439,BFF cluster,FALSE
VBDR1233,unassigned,LMO,90,1.4044943820224718,BFF cluster,FALSE
VBDR1186,unassigned,HTO,74,1.2617220801364024,BFF cluster,FALSE
VBDR1216,unassigned,LMO,42,0.9794776119402986,BFF cluster,FALSE
VBDR1233,unassigned,HTO,43,0.9715318572074108,BFF cluster,FALSE
VBDR1216,unassigned,HTO,36,0.9419152276295133,BFF cluster,FALSE
VBDR1233,VBDR1206,CMO,30,0.9363295880149813,BFF cluster,FALSE
multiplet,unassigned,LMO,26,0.9084556254367574,BFF cluster,FALSE
VBDR1233,VBDR1186,CMO,25,0.7802746566791511,BFF cluster,FALSE
VBDR1233,VBDR1216,CMO,23,0.717852684144819,BFF cluster,FALSE
VBDR1206,VBDR1216,CMO,20,0.7150518412584912,BFF cluster,FALSE
multiplet,unassigned,HTO,22,0.7110536522301228,BFF cluster,FALSE
VBDR1206,VBDR1233,LMO,19,0.5792682926829268,BFF cluster,FALSE
VBDR1216,VBDR1206,CMO,19,0.5394662123793299,BFF cluster,FALSE
VBDR1206,VBDR1186,CMO,15,0.5362888809438684,BFF cluster,FALSE
VBDR1216,VBDR1233,CMO,18,0.5110732538330494,BFF cluster,FALSE
VBDR1216,VBDR1233,LMO,20,0.46641791044776115,BFF cluster,FALSE
VBDR1233,VBDR1206,LMO,29,0.4525593008739076,BFF cluster,FALSE
VBDR1186,VBDR1216,CMO,19,0.3944363711853851,BFF cluster,FALSE
VBDR1186,VBDR1206,HTO,22,0.3751065643648764,BFF cluster,FALSE
VBDR1186,VBDR1206,LMO,15,0.36284470246734396,BFF cluster,FALSE
VBDR1186,VBDR1233,LMO,15,0.36284470246734396,BFF cluster,FALSE
VBDR1233,VBDR1216,LMO,22,0.3433208489388265,BFF cluster,FALSE
VBDR1216,VBDR1206,LMO,14,0.3264925373134328,BFF cluster,FALSE
VBDR1216,VBDR1206,HTO,12,0.3139717425431711,BFF cluster,FALSE
VBDR1186,VBDR1233,CMO,15,0.3113971351463567,BFF cluster,FALSE
VBDR1206,VBDR1233,CMO,8,0.2860207365033965,BFF cluster,FALSE
VBDR1206,VBDR1216,LMO,9,0.274390243902439,BFF cluster,FALSE
VBDR1186,VBDR1206,CMO,12,0.24911770811708533,BFF cluster,FALSE
VBDR1186,VBDR1216,LMO,10,0.24189646831156267,BFF cluster,FALSE
VBDR1216,VBDR1186,HTO,8,0.20931449502878074,BFF cluster,FALSE
VBDR1233,VBDR1206,HTO,9,0.2033438770899232,BFF cluster,FALSE
VBDR1233,VBDR1186,LMO,11,0.17166042446941324,BFF cluster,FALSE
VBDR1186,VBDR1216,HTO,9,0.1534526854219949,BFF cluster,FALSE
VBDR1206,VBDR1186,LMO,5,0.1524390243902439,BFF cluster,FALSE
VBDR1216,VBDR1186,LMO,6,0.13992537313432835,BFF cluster,FALSE
VBDR1233,VBDR1216,HTO,6,0.13556258472661548,BFF cluster,FALSE
VBDR1206,VBDR1186,HTO,5,0.13419216317767044,BFF cluster,FALSE
VBDR1216,VBDR1186,CMO,4,0.1135718341851221,BFF cluster,FALSE
VBDR1206,VBDR1216,HTO,4,0.10735373054213634,BFF cluster,FALSE
VBDR1233,VBDR1186,HTO,4,0.09037505648441031,BFF cluster,FALSE
