name,Oligo,Detection,concentration
Specimen_001_s10_FB1_BC13_neat_010.fcs,FB1,FB1,1
Specimen_001_s11_mix_together_ice_011.fcs,Both,Both_ice,1
Specimen_001_s12_mix_together_RT_012.fcs,Both,Both_RT,1
Specimen_001_s2_noBC_FB2_002.fcs,None,FB2,1
Specimen_001_s3_FB2_BC1_003.fcs,FB2,FB1,1
Specimen_001_s4_FB2_BC2_neat_004.fcs,FB2,FB2,1
Specimen_001_s5_FB2_BC2_d2_005.fcs,FB2,FB2,2
Specimen_001_s6_FB2_BC2_d4_006.fcs,FB2,FB2,4
Specimen_001_s7_FB2_BC2_d8_007.fcs,FB2,FB2,8
Specimen_001_s8_FB2_BC2_d32_008.fcs,FB2,FB2,32
Specimen_001_s9_FB2_BC2_d128_009.fcs,FB2,FB2,128
Specimen_001_US_s1_001.fcs,None,None,0